study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB38199	SAMEA6853324	ERX4136705	ERR4173093	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/003/ERR4173093/ERR4173093_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173093/barcode56.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/003/ERR4173093
PRJEB38199	SAMEA6853326	ERX4136706	ERR4173094	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/004/ERR4173094/ERR4173094_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173094/barcode68.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/004/ERR4173094
PRJEB38199	SAMEA6853327	ERX4136707	ERR4173095	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/005/ERR4173095/ERR4173095_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173095/barcode80.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/005/ERR4173095
PRJEB38199	SAMEA6853328	ERX4136708	ERR4173096	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/006/ERR4173096/ERR4173096_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173096/barcode92.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/006/ERR4173096
PRJEB38199	SAMEA6853332	ERX4136709	ERR4173097	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/007/ERR4173097/ERR4173097_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173097/barcode09.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/007/ERR4173097
PRJEB38199	SAMEA6853314	ERX4136710	ERR4173098	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/008/ERR4173098/ERR4173098_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173098/barcode21.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/008/ERR4173098
PRJEB38199	SAMEA6853315	ERX4136711	ERR4173099	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/009/ERR4173099/ERR4173099_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173099/barcode33.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/009/ERR4173099
PRJEB38199	SAMEA6853316	ERX4136712	ERR4173100	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/000/ERR4173100/ERR4173100_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173100/barcode45.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/000/ERR4173100
PRJEB38199	SAMEA6853317	ERX4136713	ERR4173101	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/001/ERR4173101/ERR4173101_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173101/barcode57.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/001/ERR4173101
PRJEB38199	SAMEA6853322	ERX4136714	ERR4173102	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/002/ERR4173102/ERR4173102_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173102/barcode69.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/002/ERR4173102
PRJEB38199	SAMEA6853323	ERX4136715	ERR4173103	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/003/ERR4173103/ERR4173103_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173103/barcode81.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/003/ERR4173103
PRJEB38199	SAMEA6853326	ERX4136716	ERR4173104	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/004/ERR4173104/ERR4173104_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173104/barcode93.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/004/ERR4173104
PRJEB38199	SAMEA6853327	ERX4136717	ERR4173105	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/005/ERR4173105/ERR4173105_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173105/barcode10.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/005/ERR4173105
PRJEB38199	SAMEA6853328	ERX4136718	ERR4173106	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/006/ERR4173106/ERR4173106_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173106/barcode22.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/006/ERR4173106
PRJEB38199	SAMEA6853329	ERX4136719	ERR4173107	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/007/ERR4173107/ERR4173107_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173107/barcode34.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/007/ERR4173107
PRJEB38199	SAMEA6853330	ERX4136720	ERR4173108	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/008/ERR4173108/ERR4173108_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173108/barcode46.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/008/ERR4173108
PRJEB38199	SAMEA6853331	ERX4136721	ERR4173109	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/009/ERR4173109/ERR4173109_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173109/barcode58.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/009/ERR4173109
